date,total_equity,cash,market_value,positions_count,repo_profit
2019-12-06,1000038.3561643836,1000038.3561643836,0.0,0,38.35616438356164
2019-12-09,1000076.7137999625,1000076.7137999625,0.0,0,76.71379996246951
2019-12-10,998766.6567508737,801529.6567508737,197237.0,1,107.456224073633
2019-12-11,1001924.4003541463,801560.4003541463,200364.0,1,138.19982734626925
2019-12-12,999359.1451366256,801591.1451366256,197768.00000000003,1,168.94460982560636
2019-12-13,1000746.8910983569,801621.8910983569,199125.0,1,199.6905715568742
2019-12-16,1005615.6382393853,801652.6382393853,203963.0,1,230.43771258530433
2019-12-17,1010602.3865597561,801683.3865597561,208918.99999999997,1,261.1860329561301
2019-12-18,1008391.1360595146,801714.1360595146,206677.0,1,291.9355327145865
2019-12-19,1010309.8867387059,801744.8867387059,208565.0,1,322.68621190591034
2019-12-20,1011646.1186465607,601003.1186465607,410643.0,2,345.73750216067276
2019-12-23,1001700.1708209745,601026.1708209745,400674.0,2,368.78967657451346
2019-12-24,998456.8402720612,790717.8402720612,207739.0,1,399.11741678121473
2019-12-25,995832.1691755237,790748.1691755237,205084.0,1,429.44632024370475
2019-12-26,995095.4992422865,790778.4992422865,204317.00000000003,1,459.77638700660157
2019-12-27,993827.8304723945,790808.8304723945,203018.99999999997,1,490.1076171145249
2019-12-30,994861.162865892,790839.162865892,204022.0,1,520.4400106120962
2019-12-31,992118.4964228239,790869.4964228239,201249.0,1,550.7735675439386
2020-01-02,993682.8311432346,790899.8311432346,202782.99999999997,1,581.108287954677
2020-01-03,992179.1670271689,790930.1670271689,201249.0,1,611.4441718889381
2020-01-06,990380.5040746713,790960.5040746713,199419.99999999997,1,641.78121939135
2020-01-07,995012.8422857865,790990.8422857865,204022.0,1,672.1194305065428
2020-01-08,993025.6619094332,993025.6619094332,0.0,0,710.2066251531373
2020-01-09,993063.7505649584,993063.7505649584,0.0,0,748.2952806784307
2020-01-10,993101.8406814184,993101.8406814184,0.0,0,786.3853971384565
2020-01-13,993139.9322588692,993139.9322588692,0.0,0,824.4769745892506
